title,year,rating,running_time_secs
The Lost World: Jurassic Park,1997,6.3,7740
Snowpiercer,2013,7.7,7560
Truth or Dare,2012,5.5,5760
Moulin Rouge!,2001,7.6,7620
Trouble with the Curve,2012,6.7,6660
Child's Play,1988,6.4,5220
Slumdog Millionaire,2008,8,7200
Wrath of the Titans,2012,5.7,5940
Poltergeist,1982,7.4,6840
What Maisie Knew,2012,7.4,5940
Safe House,2012,6.7,6900
The Expatriate,2012,6,6000
Mirror Mirror,2012,5.5,6360
The Karate Kid,1984,7.1,7560
Piranha 3D,2010,5.6,5280
8 Mile,2002,6.8,6600
Chocolat,2000,7.2,7260
Abraham Lincoln: Vampire Hunter,2012,5.9,6300
Think Like a Man,2012,6.2,7320
Hammer of the Gods,2013,4.4,5940
War Horse,2011,7.1,8760
Never Back Down,2008,6.3,6600
13,2010,6.1,5460
The Fifth Element,1997,7.6,7560
New Year's Eve,2011,5.4,7080
Wanderlust,2012,5.6,5880
My Sister's Keeper,2009,7.3,6540
Star Wars: Episode VI - Return of the Jedi,1983,8.4,8040
Jackie Brown,1997,7.5,9240
Scream 4,2011,6.1,6660
Before Sunrise,1995,8,6300
Die Hard,1988,8.3,7860
Salt,2010,6.4,6000
Justin and the Knights of Valour,2013,5.1,5400
Bridge to Terabithia,2007,7.1,5760
Tarzan,1999,7,5280
Ocean's Thirteen,2007,6.8,7320
Ghost Rider,2007,5.1,6840
Great Expectations,2012,6.1,7680
Walk the Line,2005,7.8,8160
American Mary,2012,6.1,6180
The Parent Trap,1998,6.1,7620
The Stranger Within,2013,3.7,5400
Jumper,2008,5.9,5280
Priest,2011,5.6,5220
Blow,2001,7.5,7440
Invincible,2006,7,6300
Transformers: Revenge of the Fallen,2009,5.9,9000
Lockout,2012,6,5700
The Twilight Saga: Breaking Dawn - Part 1,2011,4.7,7020
The Five-Year Engagement,2012,6.2,7440
The Sound of Music,1965,7.9,10440
Breakfast at Tiffany's,1961,7.7,6900
Mr. & Mrs. Smith,2005,6.4,7200
Beowulf,2007,6.3,6900
RocknRolla,2008,7.2,6840
Welcome to the Punch,2013,6.1,5940
Friday the 13th,2009,5.4,5820
Stolen,2012,5.3,5760
Orphan,2009,6.9,7380
The Words,2012,6.9,6120
The Bank Job,2008,7.2,6660
Underworld,2003,6.9,7260
Knowing,2009,6.2,7260
The English Teacher,2013,5.6,5580
Labyrinth,1986,7.3,6060
Men in Black,1997,7.2,5880
Thunderbirds,2004,4,5700
L.A. Confidential,1997,8.3,8280
Vicky Cristina Barcelona,2008,7.1,5760
Madagascar 3: Europe's Most Wanted,2012,6.9,5580
WALL-E,2008,8.5,5880
The Lorax,2012,6.3,5160
Harry Potter and the Half-Blood Prince,2009,7.4,9180
Footloose,1984,6.2,6420
Dogma,1999,7.3,7800
Liar Liar,1997,6.7,5160
10 Years,2011,6,6000
Jumanji,1995,6.6,6240
